name,ticker,experiment,feature_family,split,rows,accuracy,balanced_accuracy,f1_macro,f1_weighted,log_loss,roc_auc_ovr_weighted,cm_down_down,cm_down_neutral,cm_down_up,cm_neutral_down,cm_neutral_neutral,cm_neutral_up,cm_up_down,cm_up_neutral,cm_up_up,precision_down,recall_down,precision_neutral,recall_neutral,precision_up,recall_up,mean_future_5d_return_pred_down,mean_future_5d_return_pred_neutral,mean_future_5d_return_pred_up,long_short_spread_pred_up_minus_down
sk_hynix,000660,core_plus_broad_dollar,core_macro+dollar,test,254,0.29133858267716534,0.32736609795433325,0.1791756727031808,0.16120627752001498,1.7041235474328909,0.45267129911927084,70,2,3,72,3,2,92,9,1,0.29914529914529914,0.9333333333333333,0.21428571428571427,0.03896103896103896,0.16666666666666666,0.00980392156862745,0.007176065829480944,0.04114678285791491,-0.028855199635209283,-0.036031265464690224
sk_hynix,000660,core_plus_broad_dollar,core_macro+dollar,recent_regime,330,0.2515151515151515,0.33774928774928775,0.15186458608833642,0.13046091702531798,1.759658021360622,0.45381065919438013,76,0,2,71,0,1,173,0,7,0.2375,0.9743589743589743,0.0,0.0,0.7,0.03888888888888889,0.03936555311605639,,0.026604885071926782,-0.012760668044129609
sk_hynix,000660,core_plus_semi_etf,core_macro+semi_etf,validation,253,0.2490118577075099,0.3333333333333333,0.1329113924050633,0.0992895381998299,2.093142937805452,0.4926130926108799,63,0,0,107,0,0,83,0,0,0.2490118577075099,1.0,0.0,0.0,0.0,0.0,0.009771242725695553,,,
sk_hynix,000660,core_plus_semi_etf,core_macro+semi_etf,test,254,0.2952755905511811,0.3333333333333333,0.1519756838905775,0.13462412943062968,2.5851003914058164,0.48985765336614806,75,0,0,77,0,0,102,0,0,0.2952755905511811,1.0,0.0,0.0,0.0,0.0,0.008197335300386195,,,
sk_hynix,000660,core_plus_semi_etf,core_macro+semi_etf,recent_regime,330,0.23030303030303031,0.3247863247863248,0.12479474548440066,0.08849081952530227,2.3554065365881103,0.48840792196606153,76,0,2,72,0,0,180,0,0,0.23170731707317074,0.9743589743589743,0.0,0.0,0.0,0.0,0.03945080890000769,,-0.0384197356726049,-0.07787054457261258
sk_hynix,000660,core_plus_monthly_industry,core_macro+monthly_industry,validation,253,0.2490118577075099,0.3333333333333333,0.1329113924050633,0.0992895381998299,2.0640137038340423,0.49030246818072015,63,0,0,107,0,0,83,0,0,0.2490118577075099,1.0,0.0,0.0,0.0,0.0,0.009771242725695553,,,
sk_hynix,000660,core_plus_monthly_industry,core_macro+monthly_industry,test,254,0.2952755905511811,0.3333333333333333,0.1519756838905775,0.13462412943062968,2.158319375323114,0.48018842587231503,75,0,0,77,0,0,102,0,0,0.2952755905511811,1.0,0.0,0.0,0.0,0.0,0.008197335300386195,,,
sk_hynix,000660,core_plus_monthly_industry,core_macro+monthly_industry,recent_regime,330,0.24848484848484848,0.33589743589743587,0.14814814814814814,0.12467532467532466,1.8758758114649694,0.49092625032159914,76,0,2,71,0,1,174,0,6,0.2367601246105919,0.9743589743589743,0.0,0.0,0.6666666666666666,0.03333333333333333,0.03891630947476084,,0.041210056273231446,0.0022937467984706084
sk_hynix,000660,core_plus_domestic_alpha,core_macro+domestic_alpha,validation,253,0.25691699604743085,0.3395638629283489,0.14630651563558913,0.11562028243132942,1.8630928204151498,0.4998777970683701,63,0,0,105,2,0,82,1,0,0.252,1.0,0.6666666666666666,0.018691588785046728,0.0,0.0,0.009574350401728014,0.0261789363896572,,
sk_hynix,000660,core_plus_domestic_alpha,core_macro+domestic_alpha,test,254,0.2952755905511811,0.3331024531024531,0.16788575409265064,0.14907971926706653,1.9230419070432299,0.48485323781368733,73,2,0,75,2,0,96,6,0,0.29918032786885246,0.9733333333333334,0.2,0.025974025974025976,0.0,0.0,0.007224612165388124,0.03193177979433916,,
