name,ticker,experiment,feature_family,feature,xgboost_feature_importance
nvidia,NVDA,proposed_daily_extended,core_macro+rates+dollar+semi_etf,usd_krw_t_minus_5,0.030759967863559723
nvidia,NVDA,proposed_daily_extended,core_macro+rates+dollar+semi_etf,us_10y_treasury_fred_t_minus_1,0.03273125737905502
nvidia,NVDA,proposed_daily_extended,core_macro+rates+dollar+semi_etf,us_10y_treasury_fred_t_minus_3,0.029453976079821587
nvidia,NVDA,proposed_daily_extended,core_macro+rates+dollar+semi_etf,us_10y_treasury_fred_t_minus_5,0.03408077731728554
nvidia,NVDA,proposed_daily_extended,core_macro+rates+dollar+semi_etf,us_2y_treasury_fred_t_minus_1,0.030220232903957367
nvidia,NVDA,proposed_daily_extended,core_macro+rates+dollar+semi_etf,us_2y_treasury_fred_t_minus_3,0.04435088858008385
nvidia,NVDA,proposed_daily_extended,core_macro+rates+dollar+semi_etf,us_2y_treasury_fred_t_minus_5,0.03460860997438431
nvidia,NVDA,proposed_daily_extended,core_macro+rates+dollar+semi_etf,us_10y_2y_spread_t_minus_1,0.021192846819758415
nvidia,NVDA,proposed_daily_extended,core_macro+rates+dollar+semi_etf,us_10y_2y_spread_t_minus_3,0.026726676151156425
nvidia,NVDA,proposed_daily_extended,core_macro+rates+dollar+semi_etf,us_10y_2y_spread_t_minus_5,0.03263210877776146
nvidia,NVDA,proposed_daily_extended,core_macro+rates+dollar+semi_etf,broad_dollar_index_t_minus_1,0.02474403753876686
nvidia,NVDA,proposed_daily_extended,core_macro+rates+dollar+semi_etf,broad_dollar_index_t_minus_3,0.032744064927101135
nvidia,NVDA,proposed_daily_extended,core_macro+rates+dollar+semi_etf,broad_dollar_index_t_minus_5,0.029378363862633705
nvidia,NVDA,proposed_daily_extended,core_macro+rates+dollar+semi_etf,smh_t_minus_1,0.02913721464574337
nvidia,NVDA,proposed_daily_extended,core_macro+rates+dollar+semi_etf,smh_t_minus_3,0.03251628950238228
nvidia,NVDA,proposed_daily_extended,core_macro+rates+dollar+semi_etf,smh_t_minus_5,0.028054121881723404
nvidia,NVDA,proposed_daily_extended,core_macro+rates+dollar+semi_etf,soxx_t_minus_1,0.0236032847315073
nvidia,NVDA,proposed_daily_extended,core_macro+rates+dollar+semi_etf,soxx_t_minus_3,0.02959558181464672
nvidia,NVDA,proposed_daily_extended,core_macro+rates+dollar+semi_etf,soxx_t_minus_5,0.03912535682320595
samsung_electronics,005930,core_plus_rates,core_macro+rates,nasdaq_t_minus_1,0.034764911979436874
samsung_electronics,005930,core_plus_rates,core_macro+rates,sox_t_minus_1,0.046586524695158005
samsung_electronics,005930,core_plus_rates,core_macro+rates,vix_t_minus_1,0.036082539707422256
samsung_electronics,005930,core_plus_rates,core_macro+rates,us_rate_t_minus_1,0.03738724812865257
samsung_electronics,005930,core_plus_rates,core_macro+rates,usd_krw_t_minus_1,0.037115201354026794
samsung_electronics,005930,core_plus_rates,core_macro+rates,nasdaq_t_minus_3,0.03927413001656532
samsung_electronics,005930,core_plus_rates,core_macro+rates,sox_t_minus_3,0.04096187651157379
samsung_electronics,005930,core_plus_rates,core_macro+rates,vix_t_minus_3,0.03760049119591713
samsung_electronics,005930,core_plus_rates,core_macro+rates,us_rate_t_minus_3,0.059548504650592804
samsung_electronics,005930,core_plus_rates,core_macro+rates,usd_krw_t_minus_3,0.04620867595076561
samsung_electronics,005930,core_plus_rates,core_macro+rates,nasdaq_t_minus_5,0.047039568424224854
samsung_electronics,005930,core_plus_rates,core_macro+rates,sox_t_minus_5,0.05067270249128342
samsung_electronics,005930,core_plus_rates,core_macro+rates,vix_t_minus_5,0.043969787657260895
samsung_electronics,005930,core_plus_rates,core_macro+rates,us_rate_t_minus_5,0.03456522524356842
samsung_electronics,005930,core_plus_rates,core_macro+rates,usd_krw_t_minus_5,0.03840306028723717
samsung_electronics,005930,core_plus_rates,core_macro+rates,us_10y_treasury_fred_t_minus_1,0.04130356013774872
samsung_electronics,005930,core_plus_rates,core_macro+rates,us_10y_treasury_fred_t_minus_3,0.04196269437670708
samsung_electronics,005930,core_plus_rates,core_macro+rates,us_10y_treasury_fred_t_minus_5,0.036374110728502274
samsung_electronics,005930,core_plus_rates,core_macro+rates,us_2y_treasury_fred_t_minus_1,0.035002849996089935
samsung_electronics,005930,core_plus_rates,core_macro+rates,us_2y_treasury_fred_t_minus_3,0.03986450284719467
samsung_electronics,005930,core_plus_rates,core_macro+rates,us_2y_treasury_fred_t_minus_5,0.04806872084736824
samsung_electronics,005930,core_plus_rates,core_macro+rates,us_10y_2y_spread_t_minus_1,0.04298023134469986
samsung_electronics,005930,core_plus_rates,core_macro+rates,us_10y_2y_spread_t_minus_3,0.04253518953919411
samsung_electronics,005930,core_plus_rates,core_macro+rates,us_10y_2y_spread_t_minus_5,0.04172765463590622
samsung_electronics,005930,core_plus_broad_dollar,core_macro+dollar,nasdaq_t_minus_1,0.04760099574923515
samsung_electronics,005930,core_plus_broad_dollar,core_macro+dollar,sox_t_minus_1,0.05485290661454201
samsung_electronics,005930,core_plus_broad_dollar,core_macro+dollar,vix_t_minus_1,0.04563681408762932
samsung_electronics,005930,core_plus_broad_dollar,core_macro+dollar,us_rate_t_minus_1,0.05493379384279251
samsung_electronics,005930,core_plus_broad_dollar,core_macro+dollar,usd_krw_t_minus_1,0.04732617735862732
samsung_electronics,005930,core_plus_broad_dollar,core_macro+dollar,nasdaq_t_minus_3,0.05601120740175247
samsung_electronics,005930,core_plus_broad_dollar,core_macro+dollar,sox_t_minus_3,0.04826957732439041
samsung_electronics,005930,core_plus_broad_dollar,core_macro+dollar,vix_t_minus_3,0.050268370658159256
samsung_electronics,005930,core_plus_broad_dollar,core_macro+dollar,us_rate_t_minus_3,0.08435013890266418
samsung_electronics,005930,core_plus_broad_dollar,core_macro+dollar,usd_krw_t_minus_3,0.05532415211200714
samsung_electronics,005930,core_plus_broad_dollar,core_macro+dollar,nasdaq_t_minus_5,0.0594031922519207
samsung_electronics,005930,core_plus_broad_dollar,core_macro+dollar,sox_t_minus_5,0.06620674580335617
samsung_electronics,005930,core_plus_broad_dollar,core_macro+dollar,vix_t_minus_5,0.061672188341617584
samsung_electronics,005930,core_plus_broad_dollar,core_macro+dollar,us_rate_t_minus_5,0.05823105573654175
samsung_electronics,005930,core_plus_broad_dollar,core_macro+dollar,usd_krw_t_minus_5,0.05086150020360947
samsung_electronics,005930,core_plus_broad_dollar,core_macro+dollar,broad_dollar_index_t_minus_1,0.05088343098759651
samsung_electronics,005930,core_plus_broad_dollar,core_macro+dollar,broad_dollar_index_t_minus_3,0.058675236999988556
samsung_electronics,005930,core_plus_broad_dollar,core_macro+dollar,broad_dollar_index_t_minus_5,0.04949240759015083
samsung_electronics,005930,core_plus_semi_etf,core_macro+semi_etf,nasdaq_t_minus_1,0.0434337742626667
samsung_electronics,005930,core_plus_semi_etf,core_macro+semi_etf,sox_t_minus_1,0.04187745973467827
samsung_electronics,005930,core_plus_semi_etf,core_macro+semi_etf,vix_t_minus_1,0.03885156661272049
samsung_electronics,005930,core_plus_semi_etf,core_macro+semi_etf,us_rate_t_minus_1,0.05619877949357033
samsung_electronics,005930,core_plus_semi_etf,core_macro+semi_etf,usd_krw_t_minus_1,0.042253993451595306
samsung_electronics,005930,core_plus_semi_etf,core_macro+semi_etf,nasdaq_t_minus_3,0.05193793773651123
samsung_electronics,005930,core_plus_semi_etf,core_macro+semi_etf,sox_t_minus_3,0.04387954622507095
samsung_electronics,005930,core_plus_semi_etf,core_macro+semi_etf,vix_t_minus_3,0.040391091257333755
samsung_electronics,005930,core_plus_semi_etf,core_macro+semi_etf,us_rate_t_minus_3,0.05563909932971001
samsung_electronics,005930,core_plus_semi_etf,core_macro+semi_etf,usd_krw_t_minus_3,0.045103754848241806
samsung_electronics,005930,core_plus_semi_etf,core_macro+semi_etf,nasdaq_t_minus_5,0.05273520573973656
samsung_electronics,005930,core_plus_semi_etf,core_macro+semi_etf,sox_t_minus_5,0.048292551189661026
samsung_electronics,005930,core_plus_semi_etf,core_macro+semi_etf,vix_t_minus_5,0.05172484368085861
samsung_electronics,005930,core_plus_semi_etf,core_macro+semi_etf,us_rate_t_minus_5,0.05010392144322395
samsung_electronics,005930,core_plus_semi_etf,core_macro+semi_etf,usd_krw_t_minus_5,0.041613221168518066
samsung_electronics,005930,core_plus_semi_etf,core_macro+semi_etf,smh_t_minus_1,0.05242985859513283
samsung_electronics,005930,core_plus_semi_etf,core_macro+semi_etf,smh_t_minus_3,0.050897564738988876
samsung_electronics,005930,core_plus_semi_etf,core_macro+semi_etf,smh_t_minus_5,0.062317464500665665
samsung_electronics,005930,core_plus_semi_etf,core_macro+semi_etf,soxx_t_minus_1,0.04244853928685188
samsung_electronics,005930,core_plus_semi_etf,core_macro+semi_etf,soxx_t_minus_3,0.04326024651527405
samsung_electronics,005930,core_plus_semi_etf,core_macro+semi_etf,soxx_t_minus_5,0.044609490782022476
samsung_electronics,005930,core_plus_monthly_industry,core_macro+monthly_industry,nasdaq_t_minus_1,0.03346120938658714
samsung_electronics,005930,core_plus_monthly_industry,core_macro+monthly_industry,sox_t_minus_1,0.04176509007811546
samsung_electronics,005930,core_plus_monthly_industry,core_macro+monthly_industry,vix_t_minus_1,0.03281022608280182
samsung_electronics,005930,core_plus_monthly_industry,core_macro+monthly_industry,us_rate_t_minus_1,0.05048178508877754
samsung_electronics,005930,core_plus_monthly_industry,core_macro+monthly_industry,usd_krw_t_minus_1,0.033582787960767746
samsung_electronics,005930,core_plus_monthly_industry,core_macro+monthly_industry,nasdaq_t_minus_3,0.03330593183636665
samsung_electronics,005930,core_plus_monthly_industry,core_macro+monthly_industry,sox_t_minus_3,0.03523238003253937
samsung_electronics,005930,core_plus_monthly_industry,core_macro+monthly_industry,vix_t_minus_3,0.03548044338822365
samsung_electronics,005930,core_plus_monthly_industry,core_macro+monthly_industry,us_rate_t_minus_3,0.05650129169225693
samsung_electronics,005930,core_plus_monthly_industry,core_macro+monthly_industry,usd_krw_t_minus_3,0.03444069251418114
samsung_electronics,005930,core_plus_monthly_industry,core_macro+monthly_industry,nasdaq_t_minus_5,0.03905002400279045
samsung_electronics,005930,core_plus_monthly_industry,core_macro+monthly_industry,sox_t_minus_5,0.04564478248357773
samsung_electronics,005930,core_plus_monthly_industry,core_macro+monthly_industry,vix_t_minus_5,0.042192354798316956
samsung_electronics,005930,core_plus_monthly_industry,core_macro+monthly_industry,us_rate_t_minus_5,0.030630778521299362
samsung_electronics,005930,core_plus_monthly_industry,core_macro+monthly_industry,usd_krw_t_minus_5,0.03484155237674713
samsung_electronics,005930,core_plus_monthly_industry,core_macro+monthly_industry,semiconductor_electronic_component_industrial_production_t_minus_1,0.04801975190639496
samsung_electronics,005930,core_plus_monthly_industry,core_macro+monthly_industry,semiconductor_electronic_component_industrial_production_t_minus_3,0.041689831763505936
samsung_electronics,005930,core_plus_monthly_industry,core_macro+monthly_industry,semiconductor_electronic_component_industrial_production_t_minus_5,0.04010235518217087
samsung_electronics,005930,core_plus_monthly_industry,core_macro+monthly_industry,semiconductor_related_device_ppi_t_minus_1,0.0585944801568985
samsung_electronics,005930,core_plus_monthly_industry,core_macro+monthly_industry,semiconductor_related_device_ppi_t_minus_3,0.05702929198741913
samsung_electronics,005930,core_plus_monthly_industry,core_macro+monthly_industry,semiconductor_related_device_ppi_t_minus_5,0.06613617390394211
samsung_electronics,005930,core_plus_monthly_industry,core_macro+monthly_industry,computers_electronic_products_new_orders_t_minus_1,0.03654637932777405
samsung_electronics,005930,core_plus_monthly_industry,core_macro+monthly_industry,computers_electronic_products_new_orders_t_minus_3,0.02992704138159752
samsung_electronics,005930,core_plus_monthly_industry,core_macro+monthly_industry,computers_electronic_products_new_orders_t_minus_5,0.04253339394927025
samsung_electronics,005930,core_plus_domestic_alpha,core_macro+domestic_alpha,nasdaq_t_minus_1,0.041471216827631
