date,usd_cny
2015-12-11,6.427800178527832
2015-12-14,6.445300102233887
2015-12-15,6.448999881744385
2015-12-16,6.451000213623047
2015-12-17,6.4633002281188965
2015-12-18,6.473700046539307
2015-12-21,6.471499919891357
2015-12-22,6.470799922943115
2015-12-23,6.468800067901611
2015-12-24,6.467800140380859
2015-12-25,6.467299938201904
2015-12-28,6.467299938201904
2015-12-29,6.478700160980225
2015-12-30,6.474800109863281
2015-12-31,6.481200218200684
2016-01-01,6.483699798583984
2016-01-04,6.483699798583984
2016-01-05,6.525400161743164
2016-01-06,6.512499809265137
2016-01-07,6.5467000007629395
2016-01-08,6.582900047302246
2016-01-11,6.58650016784668
2016-01-12,6.559500217437744
2016-01-13,6.5625
2016-01-14,6.565400123596191
2016-01-15,6.5802001953125
2016-01-18,6.574900150299072
2016-01-19,6.568900108337402
2016-01-20,6.568600177764893
2016-01-21,6.568399906158447
2016-01-22,6.570000171661377
2016-01-25,6.5690999031066895
2016-01-26,6.569399833679199
2016-01-27,6.572500228881836
2016-01-28,6.567800045013428
2016-01-29,6.565199851989746
2016-02-01,6.566100120544434
2016-02-02,6.568399906158447
2016-02-03,6.569799900054932
2016-02-04,6.566999912261963
2016-02-05,6.554800033569336
2016-02-08,6.563899993896484
2016-02-09,6.563899993896484
2016-02-10,6.563899993896484
2016-02-11,6.563899993896484
2016-02-12,6.563899993896484
2016-02-15,6.563899993896484
2016-02-16,6.486199855804443
2016-02-17,6.506899833679199
2016-02-18,6.5183000564575195
2016-02-19,6.508800029754639
2016-02-22,6.512400150299072
2016-02-23,6.5117998123168945
2016-02-24,6.517099857330322
2016-02-25,6.521699905395508
2016-02-26,6.523499965667725
2016-02-29,6.530399799346924
2016-03-01,6.544000148773193
2016-03-02,6.542099952697754
2016-03-03,6.540999889373779
2016-03-04,6.521500110626221
2016-03-07,6.4980998039245605
2016-03-08,6.506800174713135
2016-03-09,6.494699954986572
2016-03-10,6.502999782562256
2016-03-11,6.498600006103516
2016-03-14,6.485300064086914
2016-03-15,6.489999771118164
2016-03-16,6.504499912261963
2016-03-17,6.51200008392334
2016-03-18,6.465000152587891
2016-03-21,6.461599826812744
2016-03-22,6.474599838256836
2016-03-23,6.480100154876709
2016-03-24,6.496300220489502
2016-03-25,6.504700183868408
2016-03-27,6.526500225067139
2016-03-28,6.500999927520752
2016-03-29,6.504899978637695
2016-03-30,6.455100059509277
2016-03-31,6.439000129699707
2016-04-03,6.468599796295166
2016-04-04,6.468599796295166
2016-04-05,6.467299938201904
2016-04-06,6.470900058746338
2016-04-07,6.453000068664551
2016-04-10,6.4558000564575195
2016-04-11,6.44950008392334
2016-04-12,6.455599784851074
2016-04-13,6.468400001525879
2016-04-14,6.472599983215332
2016-04-17,6.46560001373291
2016-04-18,6.465199947357178
2016-04-19,6.4481000900268555
2016-04-20,6.4608001708984375
2016-04-21,6.47189998626709
2016-04-24,6.491000175476074
2016-04-25,6.482999801635742
2016-04-26,6.483500003814697
2016-04-27,6.485000133514404
2016-04-28,6.46589994430542
2016-05-01,6.464099884033203
2016-05-02,6.464099884033203
2016-05-03,6.481800079345703
2016-05-04,6.484799861907959
2016-05-05,6.493500232696533
2016-05-08,6.490200042724609
2016-05-09,6.506899833679199
2016-05-10,6.508299827575684
2016-05-11,6.48199987411499
2016-05-12,6.506800174713135
2016-05-15,6.521999835968018
2016-05-16,6.521299839019775
2016-05-17,6.518599987030029
2016-05-18,6.528800010681152
2016-05-19,6.5370001792907715
2016-05-22,6.5366997718811035
2016-05-23,6.5457000732421875
2016-05-24,6.5472002029418945
2016-05-25,6.544099807739258
2016-05-26,6.546999931335449
2016-05-29,6.553299903869629
2016-05-30,6.573299884796143
2016-05-31,6.57289981842041
2016-06-01,6.565100193023682
2016-06-02,6.57450008392334
2016-06-05,6.554800033569336
2016-06-06,6.553800106048584
2016-06-07,6.561500072479248
2016-06-08,6.552499771118164
2016-06-09,6.552000045776367
2016-06-12,6.552000045776367
2016-06-13,6.575699806213379
2016-06-14,6.58650016784668
2016-06-15,6.571800231933594
2016-06-16,6.581999778747559
2016-06-19,6.578400135040283
2016-06-20,6.5671000480651855
2016-06-21,6.5802998542785645
2016-06-22,6.567500114440918
2016-06-23,6.567299842834473
2016-06-26,6.611800193786621
2016-06-27,6.641600131988525
2016-06-28,6.6381001472473145
2016-06-29,6.626800060272217
2016-06-30,6.6381001472473145
2016-07-03,6.645699977874756
2016-07-04,6.655300140380859
2016-07-05,6.6697001457214355
2016-07-06,6.683000087738037
2016-07-07,6.67110013961792
2016-07-10,6.678100109100342
2016-07-11,6.683899879455566
2016-07-12,6.678599834442139
2016-07-13,6.676300048828125
2016-07-14,6.673600196838379
2016-07-17,6.67609977722168
2016-07-18,6.704599857330322
2016-07-19,6.695400238037109
2016-07-20,6.676599979400635
2016-07-21,6.6743998527526855
2016-07-24,6.693900108337402
2016-07-25,6.679299831390381
2016-07-26,6.6697001457214355
2016-07-27,6.666800022125244
2016-07-28,6.656099796295166
2016-07-31,6.642300128936768
2016-08-01,6.641499996185303
2016-08-02,6.628699779510498
2016-08-03,6.630799770355225
2016-08-04,6.638700008392334
2016-08-07,6.673699855804443
2016-08-08,6.660399913787842
2016-08-09,6.655200004577637
2016-08-10,6.639200210571289
2016-08-11,6.625999927520752
2016-08-14,6.644899845123291
2016-08-15,6.63539981842041
2016-08-16,6.624800205230713
2016-08-17,6.633999824523926
2016-08-18,6.611999988555908
2016-08-21,6.634399890899658
2016-08-22,6.647500038146973
2016-08-23,6.6407999992370605
2016-08-24,6.658400058746338
2016-08-25,6.65939998626709
2016-08-28,6.678899765014648
2016-08-29,6.67519998550415
2016-08-30,6.6803998947143555
2016-08-31,6.677599906921387
2016-09-01,6.6682000160217285
2016-09-04,6.679800033569336
2016-09-05,6.675899982452393
2016-09-06,6.674300193786621
2016-09-07,6.662600040435791
2016-09-08,6.662799835205078
2016-09-11,6.679900169372559
2016-09-12,6.678699970245361
2016-09-13,6.676400184631348
2016-09-14,6.6732001304626465
2016-09-15,6.671199798583984
2016-09-18,6.6707000732421875
2016-09-19,6.666200160980225
2016-09-20,6.66949987411499
2016-09-21,6.673600196838379
2016-09-22,6.66379976272583
2016-09-25,6.657199859619141
2016-09-26,6.667699813842773
2016-09-27,6.6697998046875
2016-09-28,6.67519998550415
2016-09-29,6.668700218200684
2016-10-02,6.6381001472473145
2016-10-03,6.6732001304626465
2016-10-04,6.67080020904541
2016-10-05,6.672999858856201
2016-10-06,6.673699855804443
2016-10-09,6.6768999099731445
2016-10-10,6.707699775695801
2016-10-11,6.723499774932861
2016-10-12,6.718800067901611
2016-10-13,6.729300022125244
2016-10-16,6.730999946594238
2016-10-17,6.731500148773193
2016-10-18,6.743000030517578
2016-10-19,6.735400199890137
2016-10-20,6.743000030517578
2016-10-23,6.766300201416016
2016-10-24,6.776199817657471
2016-10-25,6.780600070953369
2016-10-26,6.769700050354004
2016-10-27,6.784800052642822
2016-10-31,6.783400058746338
2016-11-01,6.774600028991699
2016-11-02,6.766300201416016
2016-11-03,6.747099876403809
2016-11-04,6.766200065612793
2016-11-07,6.755499839782715
2016-11-08,6.774099826812744
2016-11-09,6.784800052642822
2016-11-10,6.77869987487793
2016-11-11,6.801700115203857
2016-11-14,6.805099964141846
2016-11-15,6.845699787139893
2016-11-16,6.858099937438965
2016-11-17,6.7891998291015625
2016-11-18,6.8765997886657715
2016-11-21,6.892499923706055
2016-11-22,6.888899803161621
2016-11-23,6.8892998695373535
2016-11-24,6.910200119018555
2016-11-25,6.9182000160217285
2016-11-28,6.9217000007629395
2016-11-29,6.906300067901611
2016-11-30,6.897299766540527
2016-12-01,6.8907999992370605
2016-12-02,6.876500129699707
2016-12-05,6.885499954223633
2016-12-06,6.870999813079834
2016-12-07,6.872000217437744
2016-12-08,6.870500087738037
2016-12-09,6.869900226593018
2016-12-12,6.906700134277344
2016-12-13,6.896900177001953
2016-12-14,6.89169979095459
