date,usd_krw
2017-03-20,1126.6500244140625
2017-03-21,1113.75
2017-03-22,1122.780029296875
2017-03-23,1116.4100341796875
2017-03-24,1121.22998046875
2017-03-26,1116.1400146484375
2017-03-27,1111.0999755859375
2017-03-28,1115.5
2017-03-29,1109.949951171875
2017-03-30,1117.02001953125
2017-04-02,1115.1600341796875
2017-04-03,1116.22998046875
2017-04-04,1124.0999755859375
2017-04-05,1127.0999755859375
2017-04-06,1130.0
2017-04-09,1136.0
2017-04-10,1142.030029296875
2017-04-11,1144.5899658203125
2017-04-12,1133.4300537109375
2017-04-13,1135.0
2017-04-16,1135.3599853515625
2017-04-17,1131.800048828125
2017-04-18,1141.6800537109375
2017-04-19,1141.8900146484375
2017-04-20,1137.1099853515625
2017-04-23,1133.7099609375
2017-04-24,1133.8399658203125
2017-04-25,1125.469970703125
2017-04-26,1131.800048828125
2017-04-27,1129.93994140625
2017-04-30,1135.6400146484375
2017-05-01,1136.260009765625
2017-05-02,1127.760009765625
2017-05-03,1132.9100341796875
2017-05-04,1134.93994140625
2017-05-07,1133.719970703125
2017-05-08,1132.6500244140625
2017-05-09,1137.8599853515625
2017-05-10,1130.0400390625
2017-05-11,1123.1600341796875
2017-05-14,1123.0999755859375
2017-05-15,1117.4300537109375
2017-05-16,1115.0
2017-05-17,1120.949951171875
2017-05-18,1128.4100341796875
2017-05-21,1117.010009765625
2017-05-22,1114.780029296875
2017-05-23,1124.5699462890625
2017-05-24,1118.3800048828125
2017-05-25,1119.56005859375
2017-05-28,1118.75
2017-05-29,1122.8399658203125
2017-05-30,1123.9000244140625
2017-05-31,1119.02001953125
2017-06-01,1121.0400390625
2017-06-04,1117.449951171875
2017-06-05,1116.949951171875
2017-06-06,1117.4599609375
2017-06-07,1123.1400146484375
2017-06-08,1121.510009765625
2017-06-11,1124.0999755859375
2017-06-12,1130.489990234375
2017-06-13,1126.550048828125
2017-06-14,1118.9000244140625
2017-06-15,1129.93994140625
2017-06-18,1131.1400146484375
2017-06-19,1135.72998046875
2017-06-20,1140.8499755859375
2017-06-21,1142.5
2017-06-22,1139.050048828125
2017-06-25,1133.449951171875
2017-06-26,1133.0799560546875
2017-06-27,1139.9599609375
2017-06-28,1137.699951171875
2017-06-29,1146.1400146484375
2017-07-02,1144.81005859375
2017-07-03,1149.5799560546875
2017-07-04,1149.199951171875
2017-07-05,1152.8499755859375
2017-07-06,1156.3699951171875
2017-07-09,1153.81005859375
2017-07-11,1147.969970703125
2017-07-12,1137.1199951171875
2017-07-13,1136.6300048828125
2017-07-16,1127.510009765625
2017-07-17,1127.6600341796875
2017-07-18,1124.27001953125
2017-07-19,1123.5
2017-07-20,1120.56005859375
2017-07-23,1116.1099853515625
2017-07-24,1113.9000244140625
2017-07-25,1119.239990234375
2017-07-26,1111.8499755859375
2017-07-27,1115.510009765625
2017-07-30,1124.050048828125
2017-07-31,1118.72998046875
