name,ticker,recipe,params,accuracy_recent_regime,accuracy_test,balanced_accuracy_recent_regime,balanced_accuracy_test,f1_macro_recent_regime,f1_macro_test,long_short_spread_pred_up_minus_down_recent_regime,long_short_spread_pred_up_minus_down_test,passed_prediction_balance_recent_regime,passed_prediction_balance_test,roc_auc_recent_regime,roc_auc_test
samsung_electronics,005930,technical_alpha_semi_etf,depth3_conservative,0.35856573705179284,0.4090909090909091,0.5139473684210527,0.38842105263157894,0.33421750663129973,0.38328840970350403,0.015276653258332981,-0.028134110050655886,1.0,1.0,0.5122556390977443,0.3906578947368421
samsung_electronics,005930,technical_core,depth3_conservative,0.3466135458167331,0.4147727272727273,0.5016541353383459,0.39815789473684216,0.3207260726072607,0.3960353156754956,0.013631358294910662,-0.02283394556442105,1.0,1.0,0.4818045112781954,0.3994736842105263
samsung_electronics,005930,technical_daily_extended,depth3_conservative,0.30278884462151395,0.5284090909090909,0.5,0.4792105263157895,0.2324159021406728,0.4237702654727624,,-0.013955048256694703,0.0,1.0,0.5054887218045112,0.4118421052631579
samsung_electronics,005930,technical_dollar,depth3_conservative,0.3346613545816733,0.4659090909090909,0.5042481203007518,0.44789473684210523,0.2971309757365394,0.44520456069751846,-0.011304669656149471,-0.011609261026485813,0.0,1.0,0.4774436090225564,0.4167105263157895
samsung_electronics,005930,technical_dollar_semi_etf,depth3_conservative,0.3147410358565737,0.48863636363636365,0.49740601503759396,0.46,0.26216844407984685,0.44754464285714285,-0.002981510523950924,-0.010875464673628139,0.0,1.0,0.4820300751879699,0.4152631578947368
samsung_electronics,005930,technical_domestic_alpha,depth3_conservative,0.33067729083665337,0.4375,0.4976691729323308,0.4118421052631579,0.2942830365510778,0.40179215161190646,-0.0035843079036200903,-0.021670737125162595,0.0,1.0,0.4922556390977444,0.3907894736842105
samsung_electronics,005930,technical_monthly_industry,shallow_regularized,0.4900398406374502,0.5852272727272727,0.5375187969924813,0.5213157894736842,0.48572160327826863,0.41469636918591407,0.017281738481496455,0.035117424098134564,1.0,0.0,0.5808270676691729,0.43118421052631584
samsung_electronics,005930,technical_only,depth3_regularized,0.5099601593625498,0.4715909090909091,0.5257518796992481,0.4907894736842105,0.4958440158727566,0.46869218034862203,0.019089683001455485,-0.00249243899878087,1.0,1.0,0.5157894736842106,0.48815789473684207
samsung_electronics,005930,technical_rates,depth3_conservative,0.3107569721115538,0.4772727272727273,0.5057142857142857,0.4373684210526316,0.24514558887440244,0.4032139171458057,0.051194529225007286,-0.01828237462868,0.0,1.0,0.5208270676691729,0.39697368421052626
samsung_electronics,005930,technical_rates_dollar,depth3_conservative,0.30278884462151395,0.5170454545454546,0.5,0.46921052631578947,0.2324159021406728,0.41669590985300425,,-0.01545497029532841,0.0,1.0,0.484812030075188,0.4080263157894737
