name,ticker,recipe,params,split,rows,accuracy,balanced_accuracy,f1_macro,f1_weighted,log_loss,pred_down_share,pred_up_share,min_predicted_class_share,passed_prediction_balance,roc_auc,cm_down_down,cm_down_up,cm_up_down,cm_up_up,precision_down,recall_down,precision_up,recall_up,mean_future_5d_return_pred_down,mean_future_5d_return_pred_up,long_short_spread_pred_up_minus_down
sk_hynix,000660,technical_semi_etf,depth4_slow,validation,146,0.4863013698630137,0.5481927710843374,0.40134492373298347,0.3704516705947906,1.3396965476393083,0.9452054794520548,0.0547945205479452,0.0547945205479452,False,0.5578504494167145,63,0,75,8,0.45652173913043476,1.0,1.0,0.0963855421686747,0.014110099770411649,0.09542447866309435,0.0813143788926827
sk_hynix,000660,technical_semi_etf,depth2_fast,validation,146,0.4589041095890411,0.5240963855421686,0.3532940846649846,0.31749407621615183,1.5574502714059613,0.9726027397260274,0.0273972602739726,0.0273972602739726,False,0.5396825396825397,63,0,79,4,0.44366197183098594,1.0,1.0,0.04819277108433735,0.01576095413059422,0.11813352776929575,0.10237257363870153
sk_hynix,000660,technical_semi_etf,depth3_conservative,validation,146,0.4726027397260274,0.5342321667622872,0.385380788365863,0.35366371514398504,1.1518253382130201,0.9452054794520548,0.0547945205479452,0.0547945205479452,False,0.5614840313635495,62,1,76,7,0.4492753623188406,0.9841269841269841,0.875,0.08433734939759036,0.015053858409832371,0.07914464213308686,0.0640907837232545
sk_hynix,000660,technical_semi_etf,baseline_depth3_unweighted,validation,146,0.4657534246575342,0.5301204819277109,0.36564171122994654,0.3311204307376749,1.5004296735834357,0.9657534246575342,0.03424657534246575,0.03424657534246575,False,0.5375788869764774,63,0,78,5,0.44680851063829785,1.0,1.0,0.060240963855421686,0.015321118501890791,0.11006237777099215,0.09474125926910136
sk_hynix,000660,technical_semi_etf,depth2_fast_unweighted,validation,146,0.4589041095890411,0.5240963855421686,0.3532940846649846,0.31749407621615183,1.5574502714059613,0.9726027397260274,0.0273972602739726,0.0273972602739726,False,0.5396825396825397,63,0,79,4,0.44366197183098594,1.0,1.0,0.04819277108433735,0.01576095413059422,0.11813352776929575,0.10237257363870153
sk_hynix,000660,technical_semi_etf,depth3_regularized_unweighted,validation,146,0.4863013698630137,0.5481927710843374,0.40134492373298347,0.3704516705947906,1.2660896069439926,0.9452054794520548,0.0547945205479452,0.0547945205479452,False,0.5771658060814687,63,0,75,8,0.45652173913043476,1.0,1.0,0.0963855421686747,0.014110099770411649,0.09542447866309435,0.0813143788926827
sk_hynix,000660,technical_semi_etf,depth4_slow_unweighted,validation,146,0.4863013698630137,0.5481927710843374,0.40134492373298347,0.3704516705947906,1.3396965476393083,0.9452054794520548,0.0547945205479452,0.0547945205479452,False,0.5578504494167145,63,0,75,8,0.45652173913043476,1.0,1.0,0.0963855421686747,0.014110099770411649,0.09542447866309435,0.0813143788926827
sk_hynix,000660,technical_semi_etf,depth3_regularized,test,177,0.4350282485875706,0.44450980392156864,0.43501021450459654,0.4354971347448971,0.8509697516005204,0.5706214689265536,0.4293785310734463,0.4293785310734463,True,0.5041830065359477,38,37,63,39,0.37623762376237624,0.5066666666666667,0.5131578947368421,0.38235294117647056,0.020320811370500822,-5.9022115209331975e-05,-0.020379833485710153
sk_hynix,000660,technical_semi_etf,depth3_regularized,recent_regime,258,0.4573643410852713,0.5057692307692307,0.45408379179009734,0.4708145931954847,0.8182111725163872,0.6201550387596899,0.3798449612403101,0.3798449612403101,True,0.47635327635327634,49,29,111,69,0.30625,0.6282051282051282,0.7040816326530612,0.38333333333333336,0.05812034932461424,0.03559586251201433,-0.022524486812599907
sk_hynix,000660,technical_monthly_industry,baseline_depth3,validation,146,0.4726027397260274,0.536144578313253,0.37776055792328556,0.34448259939600767,1.4241306234641238,0.958904109589041,0.0410958904109589,0.0410958904109589,False,0.49818320902658253,63,0,77,6,0.45,1.0,1.0,0.07228915662650602,0.014956704588768108,0.1027751591990045,0.0878184546102364
sk_hynix,000660,technical_monthly_industry,shallow_regularized,validation,146,0.4726027397260274,0.536144578313253,0.37776055792328556,0.34448259939600767,1.110766631425924,0.958904109589041,0.0410958904109589,0.0410958904109589,False,0.5173073245362402,63,0,77,6,0.45,1.0,1.0,0.07228915662650602,0.015154055956761904,0.09817029394581595,0.08301623798905404
sk_hynix,000660,technical_monthly_industry,depth3_regularized,validation,146,0.4657534246575342,0.5224708357238478,0.3947704081632653,0.36637720156555775,1.2458304717672288,0.910958904109589,0.08904109589041095,0.08904109589041095,False,0.5226620768789444,59,4,74,9,0.44360902255639095,0.9365079365079365,0.6923076923076923,0.10843373493975904,0.01611061147164212,0.043682943991781534,0.027572332520139412
sk_hynix,000660,technical_monthly_industry,depth4_slow,validation,146,0.4794520547945205,0.5364314400458978,0.41028911564625853,0.3826239399869537,1.3241326789110661,0.910958904109589,0.08904109589041095,0.08904109589041095,False,0.5410212277682157,60,3,73,10,0.45112781954887216,0.9523809523809523,0.7692307692307693,0.12048192771084337,0.015286849992002697,0.05211065759116951,0.03682380759916681
sk_hynix,000660,technical_monthly_industry,depth2_fast,validation,146,0.4589041095890411,0.5240963855421686,0.3532940846649846,0.31749407621615183,1.452912219003592,0.9726027397260274,0.0273972602739726,0.0273972602739726,False,0.48364888123924277,63,0,79,4,0.44366197183098594,1.0,1.0,0.04819277108433735,0.016067013280948724,0.10726842793171093,0.0912014146507622
sk_hynix,000660,technical_monthly_industry,depth3_conservative,validation,146,0.4726027397260274,0.5246701090074584,0.41724120055984654,0.392636072041544,1.0962614919236109,0.8767123287671232,0.1232876712328767,0.1232876712328767,True,0.4951233505450373,57,6,71,12,0.4453125,0.9047619047619048,0.6666666666666666,0.14457831325301204,0.016263357481307635,0.03493776888967695,0.018674411408369316
