name,ticker,lag_days,model,split,class_id,class_name,feature,mean_abs_shap
nvidia,NVDA,3,decision_tree,test,0,down,sox_t_minus_3,0.0168821648775887
nvidia,NVDA,3,decision_tree,test,1,neutral,usd_krw_t_minus_3,0.09637215952703201
nvidia,NVDA,3,decision_tree,test,1,neutral,vix_t_minus_3,0.017795681540730947
nvidia,NVDA,3,decision_tree,test,1,neutral,nasdaq_t_minus_3,0.015945494611818063
nvidia,NVDA,3,decision_tree,test,1,neutral,us_rate_t_minus_3,0.011874148266640659
nvidia,NVDA,3,decision_tree,test,1,neutral,sox_t_minus_3,0.006973451759508166
nvidia,NVDA,3,decision_tree,test,2,up,nasdaq_t_minus_3,0.09332217001641553
nvidia,NVDA,3,decision_tree,test,2,up,vix_t_minus_3,0.08965115368762581
nvidia,NVDA,3,decision_tree,test,2,up,us_rate_t_minus_3,0.07189615748973012
nvidia,NVDA,3,decision_tree,test,2,up,sox_t_minus_3,0.009908713118080482
nvidia,NVDA,3,decision_tree,test,2,up,usd_krw_t_minus_3,0.0044078131909513615
nvidia,NVDA,3,random_forest,test,0,down,sox_t_minus_3,0.10046782657035558
nvidia,NVDA,3,random_forest,test,0,down,nasdaq_t_minus_3,0.07702397709027956
nvidia,NVDA,3,random_forest,test,0,down,usd_krw_t_minus_3,0.07590595779759365
nvidia,NVDA,3,random_forest,test,0,down,us_rate_t_minus_3,0.062019750353541334
nvidia,NVDA,3,random_forest,test,0,down,vix_t_minus_3,0.01951142072078495
nvidia,NVDA,3,random_forest,test,1,neutral,usd_krw_t_minus_3,0.08276927814284532
nvidia,NVDA,3,random_forest,test,1,neutral,nasdaq_t_minus_3,0.02533917262997625
nvidia,NVDA,3,random_forest,test,1,neutral,vix_t_minus_3,0.02288738450555182
nvidia,NVDA,3,random_forest,test,1,neutral,sox_t_minus_3,0.02172968257858054
nvidia,NVDA,3,random_forest,test,1,neutral,us_rate_t_minus_3,0.0170864371492759
nvidia,NVDA,3,random_forest,test,2,up,sox_t_minus_3,0.07873814399177517
nvidia,NVDA,3,random_forest,test,2,up,nasdaq_t_minus_3,0.05168480446030334
nvidia,NVDA,3,random_forest,test,2,up,us_rate_t_minus_3,0.04493331320426554
nvidia,NVDA,3,random_forest,test,2,up,vix_t_minus_3,0.019817142618920532
nvidia,NVDA,3,random_forest,test,2,up,usd_krw_t_minus_3,0.007489489274046121
nvidia,NVDA,3,ann,test,0,down,sox_t_minus_3,0.08823457762873121
nvidia,NVDA,3,ann,test,0,down,us_rate_t_minus_3,0.03617755806994124
nvidia,NVDA,3,ann,test,0,down,usd_krw_t_minus_3,0.015524348000171464
nvidia,NVDA,3,ann,test,0,down,nasdaq_t_minus_3,0.013736638411728291
nvidia,NVDA,3,ann,test,0,down,vix_t_minus_3,0.007382590705337843
nvidia,NVDA,3,ann,test,1,neutral,usd_krw_t_minus_3,0.05140311408969025
nvidia,NVDA,3,ann,test,1,neutral,nasdaq_t_minus_3,0.042541232153656135
nvidia,NVDA,3,ann,test,1,neutral,sox_t_minus_3,0.03645350630369897
nvidia,NVDA,3,ann,test,1,neutral,us_rate_t_minus_3,0.016818851429679985
nvidia,NVDA,3,ann,test,1,neutral,vix_t_minus_3,0.0054118780009390745
nvidia,NVDA,3,ann,test,2,up,sox_t_minus_3,0.05197822581563285
nvidia,NVDA,3,ann,test,2,up,us_rate_t_minus_3,0.03604570789538582
nvidia,NVDA,3,ann,test,2,up,usd_krw_t_minus_3,0.0358787660895188
nvidia,NVDA,3,ann,test,2,up,nasdaq_t_minus_3,0.02880459374192783
nvidia,NVDA,3,ann,test,2,up,vix_t_minus_3,0.004025393254883434
nvidia,NVDA,3,logistic_regression,test,0,down,sox_t_minus_3,0.46437272160761367
nvidia,NVDA,3,logistic_regression,test,0,down,us_rate_t_minus_3,0.3242903061227399
nvidia,NVDA,3,logistic_regression,test,0,down,nasdaq_t_minus_3,0.10271978049843063
nvidia,NVDA,3,logistic_regression,test,0,down,usd_krw_t_minus_3,0.056820630705807285
nvidia,NVDA,3,logistic_regression,test,0,down,vix_t_minus_3,0.009389688553712163
nvidia,NVDA,3,logistic_regression,test,1,neutral,sox_t_minus_3,0.24186476839730972
nvidia,NVDA,3,logistic_regression,test,1,neutral,us_rate_t_minus_3,0.15979753863123186
nvidia,NVDA,3,logistic_regression,test,1,neutral,nasdaq_t_minus_3,0.07049925201003085
nvidia,NVDA,3,logistic_regression,test,1,neutral,vix_t_minus_3,0.02250092776495535
nvidia,NVDA,3,logistic_regression,test,1,neutral,usd_krw_t_minus_3,0.0024830426200227983
nvidia,NVDA,3,logistic_regression,test,2,up,sox_t_minus_3,0.22250795321030412
nvidia,NVDA,3,logistic_regression,test,2,up,us_rate_t_minus_3,0.16449276749150812
nvidia,NVDA,3,logistic_regression,test,2,up,usd_krw_t_minus_3,0.05438812130826215
