ticker,feature_set,feature,coefficient,abs_coefficient
000660,macro_alpha,institution_net_buy_to_trading_value,-0.3591199592383229,0.3591199592383229
000660,macro_alpha,vix_lag1,-0.3204404762756898,0.3204404762756898
000660,macro_alpha,nasdaq,0.3191995236991565,0.3191995236991565
000660,macro_alpha,institution_net_buy_to_volume,0.3169500396023286,0.3169500396023286
000660,macro_alpha,vix_change_3d,-0.2937104387279663,0.2937104387279663
000660,macro_alpha,vix,0.2904125407135439,0.2904125407135439
000660,macro_alpha,foreign_net_buy_5d_to_trading_value_5d,0.2773892763953595,0.2773892763953595
000660,macro_alpha,institution_net_buy_5d_sum,-0.2226442615600254,0.2226442615600254
000660,macro_alpha,volume,0.1987080385260065,0.1987080385260065
000660,macro_alpha,foreign_net_buy_to_volume,-0.1957513132234078,0.1957513132234078
000660,macro_alpha,sox_lag3,-0.1566573371675325,0.1566573371675325
000660,macro_alpha,vix_lag5,0.143938558106879,0.143938558106879
000660,macro_alpha,foreign_net_buy_5d_sum,-0.1424755428480194,0.1424755428480194
000660,macro_alpha,kospi,0.1127853686876242,0.1127853686876242
000660,macro_alpha,foreign_net_buy_20d_to_trading_value_20d,-0.1098531373940133,0.1098531373940133
000660,macro_alpha,nasdaq_return_1d,-0.1030749664124684,0.1030749664124684
000660,macro_alpha,kospi200_return_1d,-0.0963622817194277,0.0963622817194277
000660,macro_alpha,foreign_net_buy_to_trading_value,0.0846537988849239,0.0846537988849239
000660,macro_alpha,institution_net_buy,0.0809008296883849,0.0809008296883849
000660,macro_alpha,sox_return_1d,0.0769212228924644,0.0769212228924644
000660,macro_alpha,foreign_net_buy,0.0743409708825011,0.0743409708825011
000660,macro_alpha,usd_krw_return_1d,-0.0698774396517818,0.0698774396517818
000660,macro_alpha,stock_vs_kospi_return_1d,-0.0678389993699907,0.0678389993699907
000660,macro_alpha,vix_lag3,0.0619022296872567,0.0619022296872567
000660,macro_alpha,usd_krw_return_3d,0.0615886787521322,0.0615886787521322
000660,macro_alpha,foreign_net_buy_20d_sum,0.0576251458912249,0.0576251458912249
000660,macro_alpha,vix_change_1d,-0.0566927379297177,0.0566927379297177
000660,macro_alpha,kospi_return_1d,0.0552422974589867,0.0552422974589867
000660,macro_alpha,nasdaq_return_3d,-0.0546289222022874,0.0546289222022874
000660,macro_alpha,usd_krw_lag1,-0.0451649118231138,0.0451649118231138
000660,macro_alpha,institution_net_buy_5d_to_trading_value_5d,0.0446751749045152,0.0446751749045152
000660,macro_alpha,stock_vs_kospi200_return_1d,0.0344388423097009,0.0344388423097009
000660,macro_alpha,return_pct,-0.0249578904307016,0.0249578904307016
000660,macro_alpha,sox_return_3d,-0.0149695015901596,0.0149695015901596
000660,macro_alpha,usd_krw_lag3,-0.009060362376232,0.009060362376232
000660,macro_alpha,us_rate_lag3,-0.0030992666977408,0.0030992666977408
005930,macro_alpha,usd_krw_lag5,-0.8900792867536494,0.8900792867536494
005930,macro_alpha,nasdaq_lag1,0.8890476679392275,0.8890476679392275
005930,macro_alpha,sox_lag5,-0.8613244221759881,0.8613244221759881
005930,macro_alpha,foreign_net_buy_to_trading_value,0.7800678591059984,0.7800678591059984
005930,macro_alpha,usd_krw_lag1,0.7768085734074531,0.7768085734074531
005930,macro_alpha,nasdaq_lag3,0.7596345168290848,0.7596345168290848
005930,macro_alpha,foreign_net_buy_to_volume,-0.7465375908300564,0.7465375908300564
005930,macro_alpha,sox,-0.7428476837629299,0.7428476837629299
005930,macro_alpha,kospi200_return_3d,-0.7003389500746218,0.7003389500746218
005930,macro_alpha,us_rate_lag3,0.6865292353800301,0.6865292353800301
005930,macro_alpha,us_rate_lag1,0.6853592831465163,0.6853592831465163
005930,macro_alpha,nasdaq_lag5,0.6565371848042648,0.6565371848042648
005930,macro_alpha,kospi_lag5,-0.5988608911347748,0.5988608911347748
005930,macro_alpha,usd_krw_lag3,-0.5884893924900142,0.5884893924900142
005930,macro_alpha,kospi200_lag3,0.5818656803578389,0.5818656803578389
005930,macro_alpha,kospi_return_3d,0.5684613281093815,0.5684613281093815
005930,macro_alpha,institution_net_buy_to_volume,0.5449187321185689,0.5449187321185689
005930,macro_alpha,institution_net_buy_to_trading_value,-0.5384788898842531,0.5384788898842531
005930,macro_alpha,us_rate,-0.5115305410401565,0.5115305410401565
005930,macro_alpha,us_rate_lag5,-0.46543974710978153,0.46543974710978153
005930,macro_alpha,usd_krw,0.41606401188689346,0.41606401188689346
005930,macro_alpha,institution_net_buy_20d_sum,0.3383602636909813,0.3383602636909813
005930,macro_alpha,kospi200_lag5,-0.3350418577307156,0.3350418577307156
005930,macro_alpha,kospi_lag3,0.3057088438814538,0.3057088438814538
005930,macro_alpha,nasdaq,0.24475433768745947,0.24475433768745947
005930,macro_alpha,vix_change_3d,-0.2379373668574627,0.2379373668574627
005930,macro_alpha,vix_lag5,0.2252812073461154,0.2252812073461154
005930,macro_alpha,vix_lag3,-0.19340510708101652,0.19340510708101652
005930,macro_alpha,kospi,-0.1932805064273454,0.1932805064273454
005930,macro_alpha,foreign_net_buy_5d_sum,-0.19239142152382024,0.19239142152382024
005930,macro_alpha,sox_lag3,-0.19128237567455375,0.19128237567455375
005930,macro_alpha,kospi_lag1,-0.17694499553063883,0.17694499553063883
005930,macro_alpha,kospi200,-0.15282757251648435,0.15282757251648435
005930,macro_alpha,nasdaq_return_1d,-0.1505415532293778,0.1505415532293778
005930,macro_alpha,vix_lag1,0.13551652050038082,0.13551652050038082
005930,macro_alpha,usd_krw_return_3d,-0.12108469148576087,0.12108469148576087
005930,macro_alpha,kospi200_lag1,-0.1183056868979068,0.1183056868979068
005930,macro_alpha,foreign_net_buy,0.11026291516926662,0.11026291516926662
005930,macro_alpha,usd_krw_return_1d,0.1016616730153807,0.1016616730153807
005930,macro_alpha,sox_lag1,-0.09524995308187414,0.09524995308187414
005930,macro_alpha,stock_vs_kospi_return_1d,-0.09048892944072658,0.09048892944072658
005930,macro_alpha,kospi200_return_1d,-0.08754807415770728,0.08754807415770728
005930,macro_alpha,sox_return_1d,0.08269123130437121,0.08269123130437121
005930,macro_alpha,institution_net_buy_5d_sum,-0.08092808278888479,0.08092808278888479
005930,macro_alpha,institution_net_buy_20d_to_trading_value_20d,-0.07550988057758223,0.07550988057758223
005930,macro_alpha,foreign_net_buy_20d_to_trading_value_20d,-0.07369794893976327,0.07369794893976327
005930,macro_alpha,foreign_net_buy_20d_sum,-0.06676665581973122,0.06676665581973122
005930,macro_alpha,foreign_net_buy_5d_to_trading_value_5d,-0.061546392911979365,0.061546392911979365
005930,macro_alpha,sox_return_3d,-0.06147973643322189,0.06147973643322189
005930,macro_alpha,institution_net_buy,0.057599132947684394,0.057599132947684394
005930,macro_alpha,stock_vs_kospi200_return_1d,0.05485268302102515,0.05485268302102515
005930,macro_alpha,return_pct,-0.03608964114753888,0.03608964114753888
005930,macro_alpha,institution_net_buy_5d_to_trading_value_5d,0.03581917581996525,0.03581917581996525
005930,macro_alpha,nasdaq_return_3d,0.035587962682783886,0.035587962682783886
005930,macro_alpha,volume,-0.03317802007774924,0.03317802007774924
005930,macro_alpha,vix_change_1d,-0.029029322644743224,0.029029322644743224
005930,macro_alpha,kospi_return_1d,0.028828054527198017,0.028828054527198017
005930,macro_alpha,vix,0.01104084585284549,0.01104084585284549
