ticker,feature_set,feature,pearson_corr_train,abs_pearson_corr_train
005930,proposed,usd_krw_lag3,0.0356829200086507,0.0356829200086507
005930,proposed,usd_krw_return_1d,0.0333721786284665,0.0333721786284665
005930,proposed,kospi_return_1d,-0.0311953063026213,0.0311953063026213
005930,proposed,foreign_net_buy,-0.0308262321444524,0.0308262321444524
005930,proposed,samsung_vs_kospi_return_1d,-0.0295772895014645,0.0295772895014645
005930,proposed,kospi_return_3d,-0.0286152118956103,0.0286152118956103
005930,proposed,usd_krw_lag5,0.0282274942109027,0.0282274942109027
005930,proposed,vix_change_3d,-0.025033403382359,0.025033403382359
005930,proposed,samsung_vs_kospi200_return_1d,-0.0243719817309531,0.0243719817309531
005930,proposed,institution_net_buy_20d_to_trading_value_20d,0.0228896786118096,0.0228896786118096
005930,proposed,nasdaq_return_1d,-0.0216551019142421,0.0216551019142421
005930,proposed,foreign_net_buy_to_volume,-0.0180866844192219,0.0180866844192219
005930,proposed,institution_net_buy_5d_to_trading_value_5d,0.017953411139502,0.017953411139502
005930,proposed,sox_return_1d,-0.0177956918769426,0.0177956918769426
005930,proposed,us_rate_lag3,0.0169345887663544,0.0169345887663544
005930,proposed,foreign_net_buy_to_trading_value,-0.016082079862003,0.016082079862003
005930,proposed,sox_return_3d,-0.0127546127516346,0.0127546127516346
005930,proposed,usd_krw_return_3d,0.0096790789985394,0.0096790789985394
005930,proposed,nasdaq_return_3d,-0.0093020270445341,0.0093020270445341
005930,proposed,vix_change_1d,-0.0085210394040911,0.0085210394040911
005930,proposed,us_rate_lag5,0.0080385458206513,0.0080385458206513
005930,proposed,us_rate_lag1,0.0076236234475944,0.0076236234475944
005930,proposed,institution_net_buy_to_volume,0.0056435520067169,0.0056435520067169
005930,proposed,us_rate,0.0034392474835814,0.0034392474835814
005930,proposed,institution_net_buy_to_trading_value,0.0017184338660393,0.0017184338660393
005930,proposed,volume,0.0002605670813049,0.0002605670813049
000660,proposed,institution_net_buy_20d_to_trading_value_20d,0.1183874903047159,0.1183874903047159
000660,proposed,close,-0.1008366718464622,0.1008366718464622
000660,proposed,low,-0.1006214456449802,0.1006214456449802
000660,proposed,high,-0.0943424994180336,0.0943424994180336
000660,proposed,open,-0.0934542345902663,0.0934542345902663
000660,proposed,institution_net_buy_20d_sum,0.0888526492080802,0.0888526492080802
000660,proposed,kospi200_return_3d,-0.073268246772771,0.073268246772771
000660,proposed,kospi_return_3d,-0.0691068174189637,0.0691068174189637
000660,proposed,volume,0.0671723044729713,0.0671723044729713
000660,proposed,kospi200_return_1d,-0.0648147032263133,0.0648147032263133
000660,proposed,kospi_return_1d,-0.0634404753309073,0.0634404753309073
000660,proposed,usd_krw_lag5,-0.0612053529111501,0.0612053529111501
000660,proposed,usd_krw_return_3d,0.0611830947362407,0.0611830947362407
000660,proposed,usd_krw_lag3,-0.0548193380464153,0.0548193380464153
000660,proposed,usd_krw_lag1,-0.0474688688986411,0.0474688688986411
000660,proposed,usd_krw,-0.0459030634208179,0.0459030634208179
000660,proposed,institution_net_buy_5d_to_trading_value_5d,0.0458989620051613,0.0458989620051613
000660,proposed,return_pct,-0.0401043196881775,0.0401043196881775
000660,proposed,sox_return_3d,-0.0359435595581191,0.0359435595581191
000660,proposed,kospi200,-0.0359259595728555,0.0359259595728555
000660,proposed,nasdaq_return_3d,-0.0349024070991325,0.0349024070991325
000660,proposed,foreign_net_buy_20d_sum,-0.0348831730316127,0.0348831730316127
000660,proposed,kospi,-0.0330058210187558,0.0330058210187558
000660,proposed,sox,-0.0325928001828982,0.0325928001828982
000660,proposed,sox_lag1,-0.0311990401409473,0.0311990401409473
000660,proposed,kospi200_lag1,-0.0305632751628244,0.0305632751628244
000660,proposed,sox_lag3,-0.0294204798203011,0.0294204798203011
000660,proposed,nasdaq_return_1d,-0.0285828478787844,0.0285828478787844
000660,proposed,kospi_lag1,-0.0278021560068448,0.0278021560068448
000660,proposed,sox_lag5,-0.0274578746511462,0.0274578746511462
000660,proposed,institution_net_buy_5d_sum,0.0270570066738997,0.0270570066738997
000660,proposed,kospi200_lag3,-0.0265782304844606,0.0265782304844606
000660,proposed,trading_value,0.0251758386945123,0.0251758386945123
