feature_name,sample_count,mean_abs_shap,mean_shap,mean_feature_value,positive_shap_count,negative_shap_count,positive_shap_ratio,negative_shap_ratio,dominant_direction
sox_lag1,239,0.08284269874476988,-0.08254791213389122,222.66435230125524,1,238,0.0041841004184100415,0.99581589958159,negative
sox_return_1d,239,0.08222480753138076,-0.007544054393305439,0.062368163179916315,107,132,0.4476987447698745,0.5523012552301255,negative
nasdaq_return_1d,239,0.07968989121338912,0.010911188284518829,0.11130541004184101,156,83,0.6527196652719666,0.3472803347280335,positive
usd_krw_return_1d,239,0.07875787447698744,-0.0012572301255230126,0.049499276150627616,126,113,0.5271966527196653,0.47280334728033474,negative
institution_net_buy_to_volume,239,0.07734475313807532,-0.01791645188284519,-3552.0498561506274,119,120,0.497907949790795,0.502092050209205,negative
us_rate_lag1,239,0.07619334728033472,0.07521527196652719,5.189832635983263,231,8,0.9665271966527197,0.03347280334728033,positive
vix,239,0.07077984518828452,0.01903439748953975,15.507196652719665,152,87,0.6359832635983264,0.36401673640167365,positive
us_rate_lag3,239,0.06863610878661087,-0.06863610878661087,5.196945606694561,0,239,0.0,1.0,negative
kospi,239,0.06706226778242678,-0.036949330543933054,2636.5392050209207,75,164,0.3138075313807531,0.6861924686192469,negative
usd_krw,239,0.06258946025104603,0.05299602092050209,1360.1205472803347,196,43,0.8200836820083682,0.1799163179916318,positive
sox_lag3,239,0.061463514644351465,0.059403138075313805,222.37979163179915,227,12,0.9497907949790795,0.0502092050209205,positive
usd_krw_lag3,239,0.059355874476987446,0.04176642677824268,1358.1302535564853,176,63,0.7364016736401674,0.26359832635983266,positive
nasdaq,239,0.055637719665271965,0.055062087866108785,17178.17832426778,230,9,0.9623430962343096,0.03765690376569038,positive
usd_krw_lag1,239,0.055506054393305436,0.0493594769874477,1359.2782050209205,209,30,0.8744769874476988,0.12552301255230125,positive
kospi_lag3,239,0.053380066945606694,-0.047732435146443514,2639.3003347280332,30,209,0.12552301255230125,0.8744769874476988,negative
foreign_net_buy_to_volume,239,0.053048916317991635,-0.007547878661087866,2926.3300587280337,133,106,0.5564853556485355,0.4435146443514644,negative
institution_net_buy_to_trading_value,239,0.05037397907949791,-0.014423092050209205,-0.019330096234309622,68,171,0.28451882845188287,0.7154811715481172,negative
foreign_net_buy_5d_to_trading_value_5d,239,0.049257891213389124,-0.0011482845188284518,0.01603466108786611,121,118,0.5062761506276151,0.49372384937238495,negative
us_rate,239,0.04652173221757322,0.022399305439330545,5.159916317991632,157,82,0.6569037656903766,0.34309623430962344,positive
foreign_net_buy_to_trading_value,239,0.043174732217573224,-0.0015062970711297071,0.013087192468619247,146,93,0.6108786610878661,0.3891213389121339,negative
kospi200_return_1d,239,0.04236808786610879,-0.0045472175732217575,-0.040038728033472804,96,143,0.401673640167364,0.5983263598326359,negative
kospi200_lag3,239,0.03796560251046025,-0.03328469037656904,356.46853556485354,45,194,0.18828451882845187,0.8117154811715481,negative
kospi200_lag1,239,0.03660584937238494,-0.03507060251046025,356.4226778242678,11,228,0.04602510460251046,0.9539748953974896,negative
kospi200,239,0.03587392050209205,0.006183811715481172,356.02535564853554,134,105,0.5606694560669456,0.4393305439330544,positive
kospi_lag5,239,0.029435635983263597,-0.00580626359832636,2640.48410041841,86,153,0.3598326359832636,0.6401673640167364,negative
sox_lag5,239,0.027560556485355648,0.0020336694560669456,222.3781878661088,130,109,0.5439330543933054,0.4560669456066946,positive
kospi200_lag5,239,0.026785251046025103,-0.020317351464435147,356.6634728033473,31,208,0.1297071129707113,0.8702928870292888,negative
us_rate_lag5,239,0.021258953974895398,0.011602451882845189,5.188577405857741,150,89,0.6276150627615062,0.3723849372384937,positive
kospi_lag1,239,0.017455627615062762,0.0067185062761506275,2639.1796234309622,164,75,0.6861924686192469,0.3138075313807531,positive
