name,ticker,recipe,feature_family,params,accuracy_recent_regime,accuracy_test,balanced_accuracy_recent_regime,balanced_accuracy_test,f1_macro_recent_regime,f1_macro_test,roc_auc_ovr_weighted_recent_regime,roc_auc_ovr_weighted_test
nvidia,NVDA,technical_rates,technical+rates,depth3_regularized_unweighted,0.28152492668621704,0.3076923076923077,0.3343290659080133,0.3340327506994174,0.1552529124837781,0.20366497670231062,0.43183518324625,0.4837173459512496
nvidia,NVDA,technical_rates_dollar,technical+rates+dollar,shallow_regularized,0.28152492668621704,0.3076923076923077,0.3343290659080133,0.34043017376350715,0.1543944427665358,0.19693182668562448,0.4439497479162257,0.4625446394187416
nvidia,NVDA,technical_rates_semi_etf,technical+rates+semi_etf,shallow_regularized,0.28152492668621704,0.3269230769230769,0.3355855855855856,0.3494648494648495,0.15068136977501798,0.23042670155598108,0.4504345579655163,0.49308481585238145
nvidia,NVDA,technical_semi_etf,technical+semi_etf,depth4_slow,0.2903225806451613,0.3076923076923077,0.3434914506343077,0.3428043428043428,0.1681569760443,0.18631648378005639,0.43355914886996405,0.49740711353206457
samsung_electronics,005930,technical_all_guarded,technical+rates+dollar+semi_etf+monthly_industry+domestic_alpha,depth3_conservative,0.2787878787878788,0.3346456692913386,0.356147964848831,0.2946153846153846,0.2722939582337,0.22316340674572618,0.5213468080250176,0.4496665636407298
samsung_electronics,005930,technical_alpha_rates,technical+domestic_alpha+rates,depth3_regularized_unweighted,0.26666666666666666,0.29133858267716534,0.27890580882586213,0.2647548358074674,0.2572752947113872,0.22425280369097442,0.48603611554198844,0.4208843029261281
samsung_electronics,005930,technical_alpha_semi_etf,technical+domestic_alpha+semi_etf,baseline_depth3_unweighted,0.30303030303030304,0.2992125984251969,0.31994701944735254,0.28935672514619887,0.28515286796536793,0.2830473683774903,0.47507782372560997,0.4413436884932284
samsung_electronics,005930,technical_core,technical,baseline_depth3_unweighted,0.23939393939393938,0.3346456692913386,0.2728365216839567,0.3030769230769231,0.22724297535183144,0.2454601308104493,0.4745894843667026,0.4736805594653069
samsung_electronics,005930,technical_daily_extended,technical+rates+dollar+semi_etf,baseline_depth3_unweighted,0.18787878787878787,0.3188976377952756,0.24228768122838742,0.28316239316239317,0.18332198406123767,0.2202168419336431,0.45588018781011613,0.4397900769936955
samsung_electronics,005930,technical_dollar,technical+dollar,depth2_fast_unweighted,0.20909090909090908,0.30708661417322836,0.27230608165984577,0.2790283400809716,0.18519632414369255,0.23546784023713382,0.464881184155704,0.4433550999562235
samsung_electronics,005930,technical_dollar_semi_etf,technical+dollar+semi_etf,depth2_fast_unweighted,0.21515151515151515,0.2795275590551181,0.2802452333365058,0.2554700854700855,0.1825429648010293,0.2081489047781183,0.4606715877080191,0.45203092989908433
samsung_electronics,005930,technical_domestic_alpha,technical+domestic_alpha,depth4_slow,0.30303030303030304,0.3031496062992126,0.3265578503220075,0.2915249662618084,0.2801378446115288,0.2797324483916663,0.4767276546939911,0.44487664750537437
samsung_electronics,005930,technical_monthly_industry,technical+monthly_industry,baseline_depth3_unweighted,0.2696969696969697,0.3425196850393701,0.33767742140160534,0.3153846153846154,0.23039935600424574,0.2586001304924967,0.5338308471304857,0.4726766669807234
samsung_electronics,005930,technical_only,technical,depth3_regularized_unweighted,0.39090909090909093,0.39763779527559057,0.3713885980774722,0.40972559604138553,0.3601002957438601,0.3944401311249138,0.5525645305570461,0.5437391061561636
samsung_electronics,005930,technical_rates,technical+rates,baseline_depth3_unweighted,0.2636363636363636,0.33858267716535434,0.274037308461026,0.2934727845254161,0.25814555524959254,0.21290483996407586,0.481169514566483,0.4285986452280799
samsung_electronics,005930,technical_rates_dollar,technical+rates+dollar,depth4_slow_unweighted,0.22727272727272727,0.31496062992125984,0.2601056438564766,0.27253261358524516,0.22774054258856422,0.1983927130880536,0.4713479613461702,0.44188791390861637
samsung_electronics,005930,technical_rates_semi_etf,technical+rates+semi_etf,baseline_depth3,0.22424242424242424,0.29133858267716534,0.2681085625456045,0.2626495726495726,0.21237395642162546,0.210614776955223,0.48741046804078403,0.4266652213353311
samsung_electronics,005930,technical_semi_etf,technical+semi_etf,baseline_depth3_unweighted,0.25757575757575757,0.3425196850393701,0.30741156689191335,0.32301844354475934,0.2376613540973038,0.27236507313876757,0.47801758138588113,0.46933663025906236
sk_hynix,000660,technical_all_guarded,technical+rates+dollar+semi_etf+monthly_industry+domestic_alpha,depth2_fast_unweighted,0.2606060606060606,0.30708661417322836,0.35548433048433054,0.345974025974026,0.198888280058778,0.19644609917075648,0.48869559381187294,0.5080136516124254
sk_hynix,000660,technical_alpha_rates,technical+domestic_alpha+rates,depth2_fast_unweighted,0.2696969696969697,0.3228346456692913,0.34821937321937324,0.3625974025974026,0.20974936838202843,0.24160671462829733,0.4920651364139737,0.5153759479640568
sk_hynix,000660,technical_alpha_semi_etf,technical+domestic_alpha+semi_etf,depth3_regularized_unweighted,0.2909090909090909,0.2952755905511811,0.3487891737891738,0.33054070112893646,0.2630587883285615,0.22466422466422467,0.4784069375929841,0.5016404730860634
sk_hynix,000660,technical_core,technical,depth2_fast_unweighted,0.31212121212121213,0.3031496062992126,0.3465099715099715,0.33767591885238946,0.28114910090813705,0.24536733301188565,0.49740915243240824,0.5298090601507403
sk_hynix,000660,technical_daily_extended,technical+rates+dollar+semi_etf,depth3_regularized_unweighted,0.24545454545454545,0.2874015748031496,0.342022792022792,0.32386724386724386,0.15275335775335774,0.18095878136200716,0.5061224425875589,0.5338190697740184
sk_hynix,000660,technical_dollar,technical+dollar,depth2_fast_unweighted,0.3181818181818182,0.28346456692913385,0.3603276353276354,0.31429929547576607,0.3067257758893868,0.24499468206102412,0.4918987326196628,0.5170786512051714
sk_hynix,000660,technical_dollar_semi_etf,technical+dollar+semi_etf,depth2_fast_unweighted,0.3151515151515151,0.30708661417322836,0.35633903133903133,0.34011374246668363,0.2922980710200406,0.25099421106029285,0.47995464053603587,0.5336818055242882
sk_hynix,000660,technical_domestic_alpha,technical+domestic_alpha,depth2_fast_unweighted,0.2878787878787879,0.2795275590551181,0.3143874643874644,0.3118394024276377,0.2596703110958544,0.23016007166747143,0.47613178294573644,0.5039060607960811
sk_hynix,000660,technical_monthly_industry,technical+monthly_industry,depth2_fast_unweighted,0.32727272727272727,0.29133858267716534,0.3798433048433048,0.3277344877344877,0.3317991943815995,0.2045977011494253,0.5015760036690269,0.5274360597971417
sk_hynix,000660,technical_only,technical,depth3_regularized,0.31212121212121213,0.35039370078740156,0.30484330484330485,0.3497394109158815,0.2907230374479283,0.34879275220024303,0.4810959204447576,0.5361653512437673
sk_hynix,000660,technical_rates,technical+rates,depth2_fast,0.2545454545454545,0.29133858267716534,0.34757834757834755,0.32865800865800865,0.16511114739673338,0.16609491137793025,0.5183441166929539,0.5436011562047411
sk_hynix,000660,technical_rates_dollar,technical+rates+dollar,depth3_regularized_unweighted,0.25757575757575757,0.2874015748031496,0.35676638176638176,0.32329004329004324,0.20082625693782377,0.20233050847457626,0.5007201472085193,0.5285333848917947
sk_hynix,000660,technical_rates_semi_etf,technical+rates+semi_etf,depth2_fast,0.24545454545454545,0.2992125984251969,0.3427350427350427,0.3370851370851371,0.16588477967215506,0.19210553437081312,0.5178997561439421,0.5373122276338311
sk_hynix,000660,technical_semi_etf,technical+semi_etf,depth4_slow_unweighted,0.2878787878787879,0.2755905511811024,0.3537749287749288,0.31088023088023087,0.2217987664549388,0.16045552108008318,0.49539850330548,0.5315689061432344
