name,ticker,recipe,feature_family,params,split,rows,accuracy,balanced_accuracy,f1_macro,f1_weighted,log_loss,roc_auc_ovr_weighted,cm_down_down,cm_down_neutral,cm_down_up,cm_neutral_down,cm_neutral_neutral,cm_neutral_up,cm_up_down,cm_up_neutral,cm_up_up,precision_down,recall_down,precision_neutral,recall_neutral,precision_up,recall_up,mean_future_5d_return_pred_down,mean_future_5d_return_pred_neutral,mean_future_5d_return_pred_up,long_short_spread_pred_up_minus_down
nvidia,NVDA,technical_only,technical,depth3_conservative,test,260,0.3153846153846154,0.32342599009265677,0.31542368350708366,0.31667386342606874,1.2148450509063513,0.4872195699690149,27,30,21,32,27,15,37,43,28,0.28125,0.34615384615384615,0.27,0.36486486486486486,0.4375,0.25925925925925924,0.016991290003677575,0.027269494692419315,0.025922489225155814,0.00893119922147824
nvidia,NVDA,technical_only,technical,depth3_conservative,recent_regime,341,0.34310850439882695,0.3407834257458318,0.3359710671721741,0.3463003731529361,1.1807697899137763,0.5261059381489579,24,30,41,23,52,73,29,28,41,0.3157894736842105,0.25263157894736843,0.4727272727272727,0.35135135135135137,0.2645161290322581,0.41836734693877553,0.012428011742729714,0.006853757511247087,0.007876200209487287,-0.004551811533242427
nvidia,NVDA,technical_core,technical,baseline_depth3,validation,259,0.29343629343629346,0.3264782836211408,0.25186147399294556,0.24215654491222635,1.3308938265722052,0.5204507968483124,49,18,3,74,22,2,65,21,5,0.26063829787234044,0.7,0.36065573770491804,0.22448979591836735,0.5,0.054945054945054944,0.022442419441898762,0.021895066177724166,0.0403706521252095,0.01792823268331074
nvidia,NVDA,technical_core,technical,shallow_regularized,validation,259,0.3204633204633205,0.33877551020408164,0.30688764145059255,0.3036910206116301,1.194046989172759,0.5246500937494727,39,20,11,53,31,14,53,25,13,0.2689655172413793,0.5571428571428572,0.40789473684210525,0.3163265306122449,0.34210526315789475,0.14285714285714285,0.024754299764680573,0.023077000424612647,0.016190918816341892,-0.00856338094833868
nvidia,NVDA,technical_core,technical,depth3_regularized,validation,259,0.2972972972972973,0.31810570381998954,0.2825384665832241,0.2772826324421849,1.2429927517407717,0.5059850222893701,39,20,11,59,26,13,52,27,12,0.26,0.5571428571428572,0.3561643835616438,0.2653061224489796,0.3333333333333333,0.13186813186813187,0.019658077159149776,0.03404877419347667,0.01456134231038814,-0.005096734848761636
nvidia,NVDA,technical_core,technical,depth4_slow,validation,259,0.30115830115830117,0.3207221350078493,0.2804533047626336,0.2757940882644334,1.2671488719932336,0.5035493568102264,39,21,10,58,30,10,52,30,9,0.26174496644295303,0.5571428571428572,0.37037037037037035,0.30612244897959184,0.3103448275862069,0.0989010989010989,0.0218537418272249,0.031355962040565045,0.0056013777802744035,-0.016252364046950497
nvidia,NVDA,technical_core,technical,depth2_fast,validation,259,0.3166023166023166,0.3362114076399791,0.29812101478768144,0.29341264341264345,1.2076298373316416,0.5237470167594391,40,25,5,54,31,13,52,28,11,0.273972602739726,0.5714285714285714,0.36904761904761907,0.3163265306122449,0.3793103448275862,0.12087912087912088,0.021645755342615515,0.021025707276548775,0.03558761110063013,0.013941855758014612
nvidia,NVDA,technical_core,technical,depth3_conservative,validation,259,0.28185328185328185,0.31407639979068547,0.2489504758797476,0.23929367286174855,1.2501409083574322,0.5141259271694055,47,15,8,70,19,9,67,17,7,0.2554347826086957,0.6714285714285714,0.37254901960784315,0.19387755102040816,0.2916666666666667,0.07692307692307693,0.025070070561956738,0.02241590724545249,0.008432340010504953,-0.016637730551451783
nvidia,NVDA,technical_core,technical,baseline_depth3_unweighted,validation,259,0.28185328185328185,0.31491365777080066,0.24109893196803792,0.2308038874040017,1.308533351240728,0.5208088523305915,48,19,3,75,20,3,65,21,5,0.2553191489361702,0.6857142857142857,0.3333333333333333,0.20408163265306123,0.45454545454545453,0.054945054945054944,0.023260170154518273,0.01994246097387344,0.035365524153490355,0.012105353998972081
nvidia,NVDA,technical_core,technical,depth2_fast_unweighted,validation,259,0.3359073359073359,0.3493982208267923,0.3177217361468519,0.3152643121763039,1.2083924177576606,0.514642082188666,37,29,4,51,38,9,43,36,12,0.2824427480916031,0.5285714285714286,0.36893203883495146,0.3877551020408163,0.48,0.13186813186813187,0.019695190887787043,0.02133071960246355,0.047253851512655494,0.02755866062486845
