date,nasdaq,sox,vix,us_rate,usd_krw
2023-07-12,13918.9599609375,3721.469970703125,13.539999961853027,,1274.699951171875
2023-07-13,14138.5703125,3797.1298828125,13.609999656677246,,1266.8299560546875
2023-07-14,14113.7001953125,3750.409912109375,13.34000015258789,,
2023-07-16,,,,,1268.3399658203125
2023-07-17,14244.9501953125,3837.31005859375,13.479999542236328,,1265.449951171875
2023-07-18,14353.6396484375,3842.360107421875,13.300000190734863,,1264.93994140625
2023-07-19,14358.01953125,3801.659912109375,13.760000228881836,,1265.0899658203125
2023-07-20,14063.3095703125,3663.85009765625,13.989999771118164,,1278.4000244140625
2023-07-21,14032.8095703125,3698.85009765625,13.600000381469727,,
2023-07-23,,,,,1285.6500244140625
2023-07-24,14058.8701171875,3692.320068359375,13.90999984741211,,1280.530029296875
2023-07-25,14144.5595703125,3755.27001953125,13.859999656677246,,1274.1199951171875
2023-07-26,14127.2802734375,3699.3701171875,13.1899995803833,,1275.1700439453125
2023-07-27,14050.1103515625,3768.27001953125,14.40999984741211,,1283.8800048828125
2023-07-28,14316.66015625,3851.760009765625,13.329999923706055,,
2023-07-30,,,,,1272.3900146484375
2023-07-31,14346.01953125,3861.6298828125,13.630000114440918,,1277.9300537109375
2023-08-01,14283.91015625,3858.2099609375,13.930000305175781,5.33,1289.050048828125
2023-08-02,13973.4501953125,3711.60009765625,16.09000015258789,,1295.3699951171875
2023-08-03,13959.7197265625,3708.080078125,15.920000076293945,,1296.4000244140625
2023-08-04,13909.240234375,3699.199951171875,17.100000381469727,,
2023-08-06,,,,,1303.050048828125
2023-08-07,13994.400390625,3739.409912109375,15.770000457763672,,1307.75
2023-08-08,13884.3203125,3679.419921875,15.989999771118164,,1316.6700439453125
2023-08-09,13722.01953125,3610.47998046875,15.960000038146973,,1313.6400146484375
2023-08-10,13737.990234375,3597.02001953125,15.850000381469727,,1318.3299560546875
2023-08-11,13644.849609375,3514.550048828125,14.84000015258789,,
2023-08-13,,,,,1329.6099853515625
2023-08-14,13788.330078125,3615.449951171875,14.819999694824219,,1334.739990234375
2023-08-15,13631.0498046875,3553.9599609375,16.459999084472656,,1338.739990234375
2023-08-16,13474.6298828125,3480.080078125,16.780000686645508,,1343.3299560546875
2023-08-17,13316.9296875,3446.35009765625,17.889999389648438,,1339.0799560546875
2023-08-18,13290.7802734375,3462.739990234375,17.299999237060547,,
2023-08-20,,,,,1339.1700439453125
2023-08-21,13497.58984375,3560.739990234375,17.1299991607666,,1339.739990234375
2023-08-22,13505.8701171875,3527.68994140625,16.969999313354492,,1339.68994140625
2023-08-23,13721.0302734375,3602.010009765625,15.979999542236328,,1327.780029296875
2023-08-24,13463.9697265625,3481.300048828125,17.200000762939453,,1326.6199951171875
2023-08-25,13590.650390625,3495.64990234375,15.680000305175781,,
2023-08-27,,,,,1323.6099853515625
2023-08-28,13705.1298828125,3537.8701171875,15.079999923706055,,1322.8199462890625
2023-08-29,13943.759765625,3629.570068359375,14.449999809265137,,1321.0699462890625
2023-08-30,14019.3095703125,3643.919921875,13.880000114440918,,1323.030029296875
2023-08-31,14034.9697265625,3670.929931640625,13.569999694824219,,1324.6400146484375
2023-09-01,14031.8095703125,3682.840087890625,13.09000015258789,5.33,
2023-09-03,,,,,1317.4599609375
2023-09-04,,,,,1317.949951171875
2023-09-05,14020.9501953125,3683.7900390625,14.010000228881836,,1331.72998046875
2023-09-06,13872.4697265625,3654.4599609375,14.449999809265137,,1333.4599609375
2023-09-07,13748.830078125,3582.110107421875,14.399999618530273,,1334.02001953125
2023-09-08,13761.5302734375,3565.989990234375,13.84000015258789,,
2023-09-10,,,,,1335.3199462890625
2023-09-11,13917.8896484375,3569.22998046875,13.800000190734863,,1320.43994140625
2023-09-12,13773.6103515625,3541.090087890625,14.229999542236328,,1324.0999755859375
2023-09-13,13813.58984375,3560.4599609375,13.479999542236328,,1329.77001953125
2023-09-14,13926.0498046875,3584.22998046875,12.819999694824219,,1327.06005859375
2023-09-15,13708.330078125,3476.389892578125,13.789999961853027,,
2023-09-17,,,,,1328.4200439453125
2023-09-18,13710.240234375,3492.469970703125,14.0,,1329.6600341796875
2023-09-19,13678.1904296875,3459.02001953125,14.109999656677246,,1328.530029296875
2023-09-20,13469.1298828125,3398.81005859375,15.140000343322754,,1332.3399658203125
2023-09-21,13223.98046875,3338.85009765625,17.540000915527344,,1341.1700439453125
2023-09-22,13211.8095703125,3365.2900390625,17.200000762939453,,
2023-09-24,,,,,1334.6600341796875
2023-09-25,13271.3203125,3389.4599609375,16.899999618530273,,1338.449951171875
2023-09-26,13063.6103515625,3329.6201171875,18.940000534057617,,1353.75
2023-09-27,13092.849609375,3361.409912109375,18.219999313354492,,1352.8199462890625
2023-09-28,13201.2802734375,3420.989990234375,17.34000015258789,,1347.8499755859375
2023-09-29,13219.3203125,3434.2900390625,17.520000457763672,,
2023-10-01,,,,5.33,1351.93994140625
2023-10-02,13307.76953125,3448.85009765625,17.610000610351562,,1354.18994140625
2023-10-03,13059.4697265625,3376.580078125,19.780000686645508,,1359.219970703125
2023-10-04,13236.009765625,3424.919921875,18.579999923706055,,1351.1600341796875
2023-10-05,13219.830078125,3406.97998046875,18.489999771118164,,1346.06005859375
2023-10-06,13431.33984375,3475.2099609375,17.450000762939453,,
2023-10-08,,,,,1343.3599853515625
2023-10-09,13484.240234375,3467.35009765625,17.700000762939453,,1346.8900146484375
