name,ticker,experiment,feature_family,split,class_label,class_name,feature,mean_abs_shap,mean_shap
nvidia,NVDA,proposed_daily_extended,core_macro+rates+dollar+semi_etf,test,2,up,usd_krw_t_minus_1,0.021808845922350883,-0.01073242723941803
nvidia,NVDA,proposed_daily_extended,core_macro+rates+dollar+semi_etf,test,2,up,nasdaq_t_minus_3,0.1307602971792221,-0.1307602971792221
nvidia,NVDA,proposed_daily_extended,core_macro+rates+dollar+semi_etf,test,2,up,sox_t_minus_3,0.6899030208587646,-0.6899030208587646
nvidia,NVDA,proposed_daily_extended,core_macro+rates+dollar+semi_etf,test,2,up,vix_t_minus_3,0.04500049725174904,0.036450766026973724
nvidia,NVDA,proposed_daily_extended,core_macro+rates+dollar+semi_etf,test,2,up,us_rate_t_minus_3,0.0012921785237267613,-0.001261768862605095
nvidia,NVDA,proposed_daily_extended,core_macro+rates+dollar+semi_etf,test,2,up,usd_krw_t_minus_3,0.04479698836803436,0.04479698836803436
nvidia,NVDA,proposed_daily_extended,core_macro+rates+dollar+semi_etf,test,2,up,nasdaq_t_minus_5,0.09300524741411209,0.08926790207624435
nvidia,NVDA,proposed_daily_extended,core_macro+rates+dollar+semi_etf,test,2,up,sox_t_minus_5,0.039935771375894547,-0.029333265498280525
nvidia,NVDA,proposed_daily_extended,core_macro+rates+dollar+semi_etf,test,2,up,vix_t_minus_5,0.042018260806798935,-0.017506984993815422
nvidia,NVDA,proposed_daily_extended,core_macro+rates+dollar+semi_etf,test,2,up,us_rate_t_minus_5,0.1264125406742096,-0.1264125406742096
nvidia,NVDA,proposed_daily_extended,core_macro+rates+dollar+semi_etf,test,2,up,usd_krw_t_minus_5,0.12082023918628693,0.12082023918628693
nvidia,NVDA,proposed_daily_extended,core_macro+rates+dollar+semi_etf,test,2,up,us_10y_treasury_fred_t_minus_1,0.2488209307193756,-0.2488209307193756
nvidia,NVDA,proposed_daily_extended,core_macro+rates+dollar+semi_etf,test,2,up,us_10y_treasury_fred_t_minus_3,0.0920916274189949,0.0920916274189949
nvidia,NVDA,proposed_daily_extended,core_macro+rates+dollar+semi_etf,test,2,up,us_10y_treasury_fred_t_minus_5,0.07545408606529236,-0.06805668771266937
nvidia,NVDA,proposed_daily_extended,core_macro+rates+dollar+semi_etf,test,2,up,us_2y_treasury_fred_t_minus_1,0.25855448842048645,0.04634621739387512
nvidia,NVDA,proposed_daily_extended,core_macro+rates+dollar+semi_etf,test,2,up,us_2y_treasury_fred_t_minus_3,0.023590994998812675,-0.023590994998812675
nvidia,NVDA,proposed_daily_extended,core_macro+rates+dollar+semi_etf,test,2,up,us_2y_treasury_fred_t_minus_5,0.05484222620725632,0.05484222620725632
nvidia,NVDA,proposed_daily_extended,core_macro+rates+dollar+semi_etf,test,2,up,us_10y_2y_spread_t_minus_1,0.020655114203691483,-0.01628376729786396
nvidia,NVDA,proposed_daily_extended,core_macro+rates+dollar+semi_etf,test,2,up,us_10y_2y_spread_t_minus_3,0.0353393480181694,-0.03442150726914406
nvidia,NVDA,proposed_daily_extended,core_macro+rates+dollar+semi_etf,test,2,up,us_10y_2y_spread_t_minus_5,0.06095564737915993,-0.06095564737915993
nvidia,NVDA,proposed_daily_extended,core_macro+rates+dollar+semi_etf,test,2,up,broad_dollar_index_t_minus_1,0.045456476509571075,0.029995838180184364
nvidia,NVDA,proposed_daily_extended,core_macro+rates+dollar+semi_etf,test,2,up,broad_dollar_index_t_minus_3,0.031238460913300514,-0.022649060934782028
nvidia,NVDA,proposed_daily_extended,core_macro+rates+dollar+semi_etf,test,2,up,broad_dollar_index_t_minus_5,0.029675288125872612,-0.027487250044941902
nvidia,NVDA,proposed_daily_extended,core_macro+rates+dollar+semi_etf,test,2,up,smh_t_minus_1,0.023321978747844696,-0.023321978747844696
nvidia,NVDA,proposed_daily_extended,core_macro+rates+dollar+semi_etf,test,2,up,smh_t_minus_3,0.11951857060194016,-0.11951857060194016
nvidia,NVDA,proposed_daily_extended,core_macro+rates+dollar+semi_etf,test,2,up,smh_t_minus_5,0.012289605103433132,0.012289605103433132
nvidia,NVDA,proposed_daily_extended,core_macro+rates+dollar+semi_etf,test,2,up,soxx_t_minus_1,0.037074193358421326,-0.037074193358421326
nvidia,NVDA,proposed_daily_extended,core_macro+rates+dollar+semi_etf,test,2,up,soxx_t_minus_3,0.004455849528312683,-0.004255571402609348
nvidia,NVDA,proposed_daily_extended,core_macro+rates+dollar+semi_etf,test,2,up,soxx_t_minus_5,0.13999947905540466,-0.13999947905540466
nvidia,NVDA,proposed_daily_extended,core_macro+rates+dollar+semi_etf,test,overall,overall,nasdaq_t_minus_1,0.11546538770198822,
nvidia,NVDA,proposed_daily_extended,core_macro+rates+dollar+semi_etf,test,overall,overall,sox_t_minus_1,0.10883676260709763,
nvidia,NVDA,proposed_daily_extended,core_macro+rates+dollar+semi_etf,test,overall,overall,vix_t_minus_1,0.04220135882496834,
nvidia,NVDA,proposed_daily_extended,core_macro+rates+dollar+semi_etf,test,overall,overall,us_rate_t_minus_1,0.08656726032495499,
nvidia,NVDA,proposed_daily_extended,core_macro+rates+dollar+semi_etf,test,overall,overall,usd_krw_t_minus_1,0.04002031311392784,
nvidia,NVDA,proposed_daily_extended,core_macro+rates+dollar+semi_etf,test,overall,overall,nasdaq_t_minus_3,0.06378591805696487,
nvidia,NVDA,proposed_daily_extended,core_macro+rates+dollar+semi_etf,test,overall,overall,sox_t_minus_3,0.3008725047111511,
nvidia,NVDA,proposed_daily_extended,core_macro+rates+dollar+semi_etf,test,overall,overall,vix_t_minus_3,0.04441235214471817,
nvidia,NVDA,proposed_daily_extended,core_macro+rates+dollar+semi_etf,test,overall,overall,us_rate_t_minus_3,0.005259629804641008,
nvidia,NVDA,proposed_daily_extended,core_macro+rates+dollar+semi_etf,test,overall,overall,usd_krw_t_minus_3,0.03978380933403969,
nvidia,NVDA,proposed_daily_extended,core_macro+rates+dollar+semi_etf,test,overall,overall,nasdaq_t_minus_5,0.06600690633058548,
nvidia,NVDA,proposed_daily_extended,core_macro+rates+dollar+semi_etf,test,overall,overall,sox_t_minus_5,0.12951594591140747,
nvidia,NVDA,proposed_daily_extended,core_macro+rates+dollar+semi_etf,test,overall,overall,vix_t_minus_5,0.04401164501905441,
nvidia,NVDA,proposed_daily_extended,core_macro+rates+dollar+semi_etf,test,overall,overall,us_rate_t_minus_5,0.10057589411735535,
nvidia,NVDA,proposed_daily_extended,core_macro+rates+dollar+semi_etf,test,overall,overall,usd_krw_t_minus_5,0.08215119689702988,
nvidia,NVDA,proposed_daily_extended,core_macro+rates+dollar+semi_etf,test,overall,overall,us_10y_treasury_fred_t_minus_1,0.2908315658569336,
nvidia,NVDA,proposed_daily_extended,core_macro+rates+dollar+semi_etf,test,overall,overall,us_10y_treasury_fred_t_minus_3,0.16473300755023956,
nvidia,NVDA,proposed_daily_extended,core_macro+rates+dollar+semi_etf,test,overall,overall,us_10y_treasury_fred_t_minus_5,0.16481831669807434,
nvidia,NVDA,proposed_daily_extended,core_macro+rates+dollar+semi_etf,test,overall,overall,us_2y_treasury_fred_t_minus_1,0.11165478080511093,
nvidia,NVDA,proposed_daily_extended,core_macro+rates+dollar+semi_etf,test,overall,overall,us_2y_treasury_fred_t_minus_3,0.11585342139005661,
nvidia,NVDA,proposed_daily_extended,core_macro+rates+dollar+semi_etf,test,overall,overall,us_2y_treasury_fred_t_minus_5,0.12516461312770844,
nvidia,NVDA,proposed_daily_extended,core_macro+rates+dollar+semi_etf,test,overall,overall,us_10y_2y_spread_t_minus_1,0.04828634858131409,
nvidia,NVDA,proposed_daily_extended,core_macro+rates+dollar+semi_etf,test,overall,overall,us_10y_2y_spread_t_minus_3,0.03934303671121597,
nvidia,NVDA,proposed_daily_extended,core_macro+rates+dollar+semi_etf,test,overall,overall,us_10y_2y_spread_t_minus_5,0.09886498749256134,
nvidia,NVDA,proposed_daily_extended,core_macro+rates+dollar+semi_etf,test,overall,overall,broad_dollar_index_t_minus_1,0.031045274809002876,
nvidia,NVDA,proposed_daily_extended,core_macro+rates+dollar+semi_etf,test,overall,overall,broad_dollar_index_t_minus_3,0.08136716485023499,
nvidia,NVDA,proposed_daily_extended,core_macro+rates+dollar+semi_etf,test,overall,overall,broad_dollar_index_t_minus_5,0.02665690705180168,
nvidia,NVDA,proposed_daily_extended,core_macro+rates+dollar+semi_etf,test,overall,overall,smh_t_minus_1,0.04282620921730995,
nvidia,NVDA,proposed_daily_extended,core_macro+rates+dollar+semi_etf,test,overall,overall,smh_t_minus_3,0.1010226234793663,
nvidia,NVDA,proposed_daily_extended,core_macro+rates+dollar+semi_etf,test,overall,overall,smh_t_minus_5,0.014843405224382877,
nvidia,NVDA,proposed_daily_extended,core_macro+rates+dollar+semi_etf,test,overall,overall,soxx_t_minus_1,0.04361163079738617,
